p_idx,sim_id,il_type,comp_idx,temp,efield,snap_ns,D_cumul
225,45,BF4,4,350,1,100,59.513333333333335
226,45,BF4,4,350,1,60,30.47361111111111
227,45,BF4,4,350,1,70,32.835952380952385
228,45,BF4,4,350,1,80,31.265833333333333
229,45,BF4,4,350,1,90,51.772962962962964
230,46,BF4,4,400,0,100,22.781833333333335
231,46,BF4,4,400,0,60,58.69972222222223
232,46,BF4,4,400,0,70,55.2952380952381
233,46,BF4,4,400,0,80,42.59645833333333
234,46,BF4,4,400,0,90,29.56574074074074
235,47,BF4,4,400,1,100,39.397
236,47,BF4,4,400,1,60,20.024277777777776
237,47,BF4,4,400,1,70,20.135238095238094
238,47,BF4,4,400,1,80,16.989833333333333
239,47,BF4,4,400,1,90,50.32555555555555
240,48,BF4,4,450,0,100,27.322666666666663
241,48,BF4,4,450,0,60,78.26666666666667
242,48,BF4,4,450,0,70,107.92380952380952
243,48,BF4,4,450,0,80,63.51541666666667
244,48,BF4,4,450,0,90,37.73574074074074
245,49,BF4,4,450,1,100,82.08416666666666
246,49,BF4,4,450,1,60,22.684833333333334
247,49,BF4,4,450,1,70,19.073833333333333
248,49,BF4,4,450,1,80,12.615083333333333
249,49,BF4,4,450,1,90,55.63814814814815
250,50,TFSI,0,250,0,100,6.5904
251,50,TFSI,0,250,0,60,3.6078333333333332
252,50,TFSI,0,250,0,70,3.8176428571428573
253,50,TFSI,0,250,0,80,3.0903541666666663
254,50,TFSI,0,250,0,90,5.315796296296297
255,51,TFSI,0,250,1,100,3.949883333333333
256,51,TFSI,0,250,1,60,6.501138888888889
257,51,TFSI,0,250,1,70,8.929690476190476
258,51,TFSI,0,250,1,80,6.877979166666666
259,51,TFSI,0,250,1,90,5.37912962962963
260,52,TFSI,0,300,0,100,2.3480666666666665
261,52,TFSI,0,300,0,60,1.0718555555555556
262,52,TFSI,0,300,0,70,0.728447619047619
263,52,TFSI,0,300,0,80,1.6095729166666668
264,52,TFSI,0,300,0,90,2.0855740740740742
265,53,TFSI,0,300,1,100,23.165
266,53,TFSI,0,300,1,60,24.679777777777776
267,53,TFSI,0,300,1,70,26.785714285714285
268,53,TFSI,0,300,1,80,28.806458333333335
269,53,TFSI,0,300,1,90,24.997962962962962
270,54,TFSI,0,350,0,100,14.597433333333331
271,54,TFSI,0,350,0,60,6.34
272,54,TFSI,0,350,0,70,15.459857142857144
273,54,TFSI,0,350,0,80,11.7686875
274,54,TFSI,0,350,0,90,15.837981481481481
275,55,TFSI,0,350,1,100,4.18325
276,55,TFSI,0,350,1,60,1.3978722222222222
277,55,TFSI,0,350,1,70,0.22258023809523808
278,55,TFSI,0,350,1,80,1.2659437500000001
279,55,TFSI,0,350,1,90,1.962277777777778
280,56,TFSI,0,400,0,100,69.69866666666667
281,56,TFSI,0,400,0,60,79.56611111111111
282,56,TFSI,0,400,0,70,74.91499999999999
283,56,TFSI,0,400,0,80,53.576458333333335
284,56,TFSI,0,400,0,90,67.05944444444444
285,57,TFSI,0,400,1,100,57.11066666666667
286,57,TFSI,0,400,1,60,75.67750000000001
287,57,TFSI,0,400,1,70,64.09309523809523
288,57,TFSI,0,400,1,80,47.48145833333333
289,57,TFSI,0,400,1,90,36.09111111111111
290,58,TFSI,0,450,0,100,21.5915
291,58,TFSI,0,450,0,60,21.552027777777777
292,58,TFSI,0,450,0,70,13.746809523809523
293,58,TFSI,0,450,0,80,13.868625
294,58,TFSI,0,450,0,90,12.94874074074074
295,59,TFSI,0,450,1,100,22.645
296,59,TFSI,0,450,1,60,40.39527777777778
297,59,TFSI,0,450,1,70,25.06119047619048
298,59,TFSI,0,450,1,80,2.2177083333333334
299,59,TFSI,0,450,1,90,10.859222222222222
300,60,TFSI,1,250,0,100,1.2195416666666667
301,60,TFSI,1,250,0,60,2.949666666666667
302,60,TFSI,1,250,0,70,1.0423047619047618
303,60,TFSI,1,250,0,80,0.8294520833333333
304,60,TFSI,1,250,0,90,0.7856888888888889
305,61,TFSI,1,250,1,100,3.1135166666666665
306,61,TFSI,1,250,1,60,4.967888888888889
307,61,TFSI,1,250,1,70,4.478666666666666
308,61,TFSI,1,250,1,80,3.4535833333333334
309,61,TFSI,1,250,1,90,2.447185185185185
310,62,TFSI,1,300,0,100,0.60839
311,62,TFSI,1,300,0,60,0.2529972222222222
312,62,TFSI,1,300,0,70,0.2459904761904762
313,62,TFSI,1,300,0,80,0.22819375
